City,Locality,Total_Restaurants
Brasí_lia,"Asa Norte",4
"Pasig City",Kapitolyo,3
"Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",3
"Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",2
"Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",2
"Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City",1
"Pasay City","Sofitel Philippine Plaza Manila, Pasay City",1
"Makati City","Little Tokyo, Legaspi Village, Makati City",1
"Taguig City","Bonifacio Global City",1
"San Juan City","Addition Hills",1
