Restaurant_ID,Restaurant_Name,Country_Code,City,Address,Locality,Locality_Verbose,Longitude,Latitude,Cuisines,Average_Cost_for_two,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Rating,Rating_color,Rating_text,Votes
6300002,"Heat - Edsa Shangri-La",162,"Mandaluyong City","Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian",4000,"Botswana Pula(P)",Yes,No,No,No,4,4.4,Green,"Very Good",270
6300010,"Spiral - Sofitel Philippine Plaza Manila",162,"Pasay City","Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.980090,14.552990,"European, Asian, Indian",6000,"Botswana Pula(P)",Yes,No,No,No,4,4.9,"Dark Green",Excellent,621
6300781,"Buffet 101",162,"Pasay City","Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.979667,14.531333,"Asian, European",2000,"Botswana Pula(P)",Yes,No,No,No,4,4,Green,"Very Good",520
6301290,Vikings,162,"Pasay City","Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.979333,14.540000,"Seafood, Filipino, Asian, European",2000,"Botswana Pula(P)",Yes,No,No,No,4,4.2,Green,"Very Good",677
6304287,"Izakaya Kikufuji",162,"Makati City","Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,Japanese,1200,"Botswana Pula(P)",Yes,No,No,No,3,4.5,"Dark Green",Excellent,591
6308205,"Wildflour Cafe + Bakery",162,"Taguig City","Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City","Bonifacio Global City","Bonifacio Global City, Taguig City",121.046220,14.549337,"Cafe, Bakery, American, Italian",1500,"Botswana Pula(P)",Yes,No,No,No,4,4.4,Green,"Very Good",392
6309455,"Mad Mark's Creamery & Good Eats",162,"Pasig City","23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.060820,14.570849,"American, Ice Cream, Desserts",900,"Botswana Pula(P)",Yes,No,No,No,3,4.2,Green,"Very Good",488
6309903,"Silantro Fil-Mex",162,"Pasig City","75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican",800,"Botswana Pula(P)",No,No,No,No,3,4.9,"Dark Green",Excellent,1070
6310406,"The Food Hall by Todd English",162,"Taguig City","Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053500,14.545655,"American, Asian, Italian, Seafood",1800,"Botswana Pula(P)",Yes,No,No,No,4,4.5,"Dark Green",Excellent,618
6310470,Guevarra's,162,"San Juan City","387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City","Addition Hills","Addition Hills, San Juan City",121.033592,14.593450,Filipino,1000,"Botswana Pula(P)",Yes,No,No,No,3,4.2,Green,"Very Good",458
